#     point_x       point_y       point_z           U_x           U_y           U_z
   0.00181672     0.0011156          0.01  -5.31165e-07   2.56459e-08             0
            0     0.0011156          0.01             0             0             0
            0             0          0.01             0             0             0
   0.00181672             0          0.01             0             0             0
   0.00369508     0.0011156          0.01  -1.04158e-06   1.41737e-07             0
   0.00369508             0          0.01             0             0             0
   0.00563718     0.0011156          0.01  -1.34741e-06   6.98067e-08             0
   0.00563718             0          0.01             0             0             0
   0.00764519     0.0011156          0.01  -1.23894e-06  -9.36203e-08             0
   0.00764519             0          0.01             0             0             0
   0.00972134     0.0011156          0.01  -4.94206e-07  -2.98773e-07             0
   0.00972134             0          0.01             0             0             0
    0.0118679     0.0011156          0.01   1.00481e-06  -5.22319e-07             0
    0.0118679             0          0.01             0             0             0
    0.0140874     0.0011156          0.01   3.33457e-06  -7.50186e-07             0
    0.0140874             0          0.01             0             0             0
    0.0163821     0.0011156          0.01   6.54516e-06  -9.72594e-07             0
    0.0163821             0          0.01             0             0             0
    0.0187548     0.0011156          0.01   1.06679e-05    -1.184e-06             0
    0.0187548             0          0.01             0             0             0
    0.0212079     0.0011156          0.01   1.57176e-05  -1.38167e-06             0
    0.0212079             0          0.01             0             0             0
    0.0237443     0.0011156          0.01   2.16964e-05  -1.56386e-06             0
    0.0237443             0          0.01             0             0             0
    0.0263667     0.0011156          0.01    2.8596e-05  -1.72923e-06             0
    0.0263667             0          0.01             0             0             0
    0.0290782     0.0011156          0.01   3.63991e-05  -1.87683e-06             0
    0.0290782             0          0.01             0             0             0
    0.0318816     0.0011156          0.01   4.50798e-05  -2.00589e-06             0
    0.0318816             0          0.01             0             0             0
    0.0347802     0.0011156          0.01   5.46036e-05  -2.11599e-06             0
    0.0347802             0          0.01             0             0             0
    0.0377771     0.0011156          0.01   6.49278e-05  -2.20677e-06             0
    0.0377771             0          0.01             0             0             0
    0.0408758     0.0011156          0.01   7.60008e-05  -2.27803e-06             0
    0.0408758             0          0.01             0             0             0
    0.0440796     0.0011156          0.01   8.77623e-05  -2.32962e-06             0
    0.0440796             0          0.01             0             0             0
    0.0473921     0.0011156          0.01   0.000100143  -2.36152e-06             0
    0.0473921             0          0.01             0             0             0
     0.050817     0.0011156          0.01   0.000113063   -2.3737e-06             0
     0.050817             0          0.01             0             0             0
    0.0543581     0.0011156          0.01   0.000126435  -2.36629e-06             0
    0.0543581             0          0.01             0             0             0
    0.0580194     0.0011156          0.01    0.00014016  -2.33946e-06             0
    0.0580194             0          0.01             0             0             0
    0.0618049     0.0011156          0.01    0.00015413  -2.29351e-06             0
    0.0618049             0          0.01             0             0             0
    0.0657189     0.0011156          0.01   0.000168226  -2.22881e-06             0
    0.0657189             0          0.01             0             0             0
    0.0697658     0.0011156          0.01   0.000182323   -2.1459e-06             0
    0.0697658             0          0.01             0             0             0
    0.0739499     0.0011156          0.01   0.000196282  -2.04541e-06             0
    0.0739499             0          0.01             0             0             0
     0.078276     0.0011156          0.01   0.000209959  -1.92813e-06             0
     0.078276             0          0.01             0             0             0
    0.0827489     0.0011156          0.01   0.000223201  -1.79496e-06             0
    0.0827489             0          0.01             0             0             0
    0.0873736     0.0011156          0.01   0.000235847  -1.64695e-06             0
    0.0873736             0          0.01             0             0             0
    0.0921553     0.0011156          0.01   0.000247732  -1.48529e-06             0
    0.0921553             0          0.01             0             0             0
    0.0970992     0.0011156          0.01   0.000258684  -1.31135e-06             0
    0.0970992             0          0.01             0             0             0
     0.102211     0.0011156          0.01    0.00026853  -1.12643e-06             0
     0.102211             0          0.01             0             0             0
     0.107496     0.0011156          0.01   0.000277092  -9.31935e-07             0
