County,Population
Alameda,1669301
Alpine,1162
Amador,38294
Butte,226466
Calaveras,45117
Colusa,22117
Contra Costa,1155879
Del Norte,27401
El Dorado,191848
Fresno,1018241
Glenn,29132
Humboldt,135333
Imperial,190266
Inyo,18593
Kern,916464
Kings,153710
Lake,65071
Lassen,30150
Los Angeles,10253716
Madera,159536
Marin,262879
Mariposa,18068
Mendocino,89009
Merced,282928
Modoc,9602
Mono,13616
Monterey,445414
Napa,140779
Nevada,98904
Orange,3222498
Placer,396691
Plumas,19779
Riverside,2440124
Sacramento,1546174
San Benito,62296
San Bernardino,2192203
San Diego,3351786
San Francisco,883869
San Joaquin,770385
San Luis Obispo,280393
San Mateo,774485
Santa Barbara,454593
Santa Clara,1954286
Santa Cruz,274871
Shasta,178773
Sierra,3213
Siskiyou,44584
Solano,441307
Sonoma,500675
Stanislaus,558972
Sutter,97490
Tehama,64387
Trinity,13688
Tulare,479112
Tuolumne,54590
Ventura,856598
Yolo,222581
Yuba,77916
